JAHR;BFS;GEMEINDE;EINWOHNER
2011;24;Buch a.I.;894
2011;83;Buchs;5692
2011;111;Bäretswil;4880
2011;53;Bülach;17472
2011;25;Dachsen;1954
2011;86;Dielsdorf;5767
2011;243;Dietikon;24114
2011;54;Dietlikon;7097
2011;216;Dinhard;1412
2011;26;Dorf;633
2011;214;Dägerlen;992
2011;84;Dällikon;3641
2011;85;Dänikon;1913
2011;215;Dättlikon;747
2011;191;Dübendorf;25124
2011;113;Dürnten;7055
2011;192;Egg;8214
2011;55;Eglisau;4490
2011;217;Elgg;4006
2011;218;Ellikon a.d.Th.;892
2011;219;Elsau;3360
2011;56;Embrach;8915
2011;151;Erlenbach;5266
2011;172;Fehraltorf;5889
2011;27;Feuerthalen;3464
2011;114;Fischenthal;2324
2011;28;Flaach;1247
2011;29;Flurlingen;1430
2011;57;Freienstein-Teufen;2280
2011;193;Fällanden;8062
2011;244;Geroldswil;4698
2011;58;Glattfelden;4463
2011;115;Gossau;9653
2011;194;Greifensee;5122
2011;116;Grüningen;3185
2011;220;Hagenbuch;1093
2011;4;Hausen a.A.;3362
2011;5;Hedingen;3464
2011;31;Henggart;2239
2011;152;Herrliberg;6119
2011;221;Hettlingen;3000
2011;117;Hinwil;10544
2011;132;Hirzel;2102
2011;173;Hittnau;3464
2011;59;Hochfelden;2007
2011;222;Hofstetten;472
2011;153;Hombrechtikon;8089
2011;133;Horgen;19068
2011;32;Humlikon;477
2011;60;Höri;2450
2011;61;Hüntwangen;958
2011;134;Hütten;910
2011;87;Hüttikon;664
2011;174;Illnau-Effretikon;15952
2011;6;Kappel a.A.;952
2011;135;Kilchberg;7541
2011;33;Kleinandelfingen;2022
2011;62;Kloten;18183
2011;7;Knonau;1894
2011;175;Kyburg;427
2011;154;Küsnacht;13506
2011;136;Langnau a.A.;7197
2011;34;Laufen-Uhwiesen;1533
2011;176;Lindau;5080
2011;63;Lufingen;1823
2011;35;Marthalen;1975
2011;8;Maschwanden;641
2011;195;Maur;9531
2011;156;Meilen;12685
2011;9;Mettmenstetten;4376
2011;155;Männedorf;10434
2011;196;Mönchaltorf;3442
2011;88;Neerach;3014
2011;223;Neftenbach;5310
2011;89;Niederglatt;4543
2011;90;Niederhasli;8594
2011;91;Niederweningen;2761
2011;64;Nürensdorf;5224
2011;65;Oberembrach;1001
2011;245;Oberengstringen;6384
2011;92;Oberglatt;5979
2011;137;Oberrieden;4969
2011;36;Oberstammheim;1102
2011;93;Oberweningen;1733
2011;10;Obfelden;4756
2011;157;Oetwil a.S.;4491
2011;246;Oetwil a.d.L.;2330
2011;66;Opfikon;15967
2011;37;Ossingen;1350
2011;94;Otelfingen;2608
2011;11;Ottenbach;2459
2011;224;Pfungen;3309
2011;177;Pfäffikon;10817
2011;67;Rafz;4054
2011;95;Regensberg;498
2011;96;Regensdorf;16824
2011;38;Rheinau;1316
2011;138;Richterswil;12574
2011;225;Rickenbach;2535
2011;12;Rifferswil;933
2011;68;Rorbas;2478
2011;178;Russikon;4126
2011;97;Rümlang;6924
2011;139;Rüschlikon;5385
2011;118;Rüti;11802
2011;226;Schlatt;737
2011;98;Schleinikon;722
2011;247;Schlieren;16685
2011;197;Schwerzenbach;4527
2011;99;Schöfflisdorf;1356
2011;140;Schönenberg;1896
2011;119;Seegräben;1298
2011;227;Seuzach;7062
2011;100;Stadel;1980
2011;13;Stallikon;3265
2011;101;Steinmaur;3229
2011;179;Sternenberg;351
2011;158;Stäfa;13864
2011;39;Thalheim a.d.Th.;876
2011;141;Thalwil;17256
2011;41;Truttikon;469
2011;40;Trüllikon;992
2011;228;Turbenthal;4263
2011;159;Uetikon a.S.;5837
2011;248;Uitikon;3936
2011;249;Unterengstringen;3350
2011;42;Unterstammheim;884
2011;250;Urdorf;9249
2011;198;Uster;32547
2011;43;Volken;307
2011;199;Volketswil;17572
2011;120;Wald;9201
2011;69;Wallisellen;14028
2011;44;Waltalingen;687
2011;200;Wangen-Brüttisellen;7588
2011;70;Wasterkingen;547
2011;102;Weiach;1022
2011;251;Weiningen;4261
2011;180;Weisslingen;3202
2011;14;Wettswil a.A.;4589
2011;121;Wetzikon;22636
2011;229;Wiesendangen;4873
2011;71;Wil;1296
2011;181;Wila;1908
2011;182;Wildberg;981
2011;72;Winkel;3903
2011;230;Winterthur;102966
2011;142;Wädenswil;20828
2011;231;Zell;5426
2011;161;Zollikon;12099
2011;160;Zumikon;5147
2011;261;Zürich;376008
2012;21;Adlikon;562
2012;131;Adliswil;17997
2012;241;Aesch;1158
2012;1;Aeugst a.A.;1959
2012;2;Affoltern a.A.;11265
2012;211;Altikon;618
2012;30;Andelfingen;2062
2012;51;Bachenbülach;4009
2012;81;Bachs;574
2012;52;Bassersdorf;11229
2012;171;Bauma;4218
2012;22;Benken;823
2012;23;Berg a.I.;587
2012;212;Bertschikon;1050
2012;242;Birmensdorf;5951
2012;3;Bonstetten;5191
2012;82;Boppelsen;1274
2012;213;Brütten;1985
2012;112;Bubikon;6856
2012;24;Buch a.I.;898
2012;83;Buchs;6047
2012;111;Bäretswil;4928
2012;53;Bülach;17928
2012;25;Dachsen;1955
2012;86;Dielsdorf;5787
2012;243;Dietikon;24772
2012;54;Dietlikon;7164
2012;216;Dinhard;1451
2012;26;Dorf;634
2012;214;Dägerlen;986
2012;84;Dällikon;3722
2012;85;Dänikon;1929
2012;215;Dättlikon;748
2012;191;Dübendorf;25299
2012;113;Dürnten;7159
2012;192;Egg;8302
2012;55;Eglisau;4701
2012;217;Elgg;4032
2012;218;Ellikon a.d.Th.;914
2012;219;Elsau;3351
2012;56;Embrach;8975
2012;151;Erlenbach;5318
2012;172;Fehraltorf;6221
2012;27;Feuerthalen;3459
2012;114;Fischenthal;2330
2012;28;Flaach;1330
2012;29;Flurlingen;1415
2012;57;Freienstein-Teufen;2317
2012;193;Fällanden;8067
2012;244;Geroldswil;4742
2012;58;Glattfelden;4546
2012;115;Gossau;9709
2012;194;Greifensee;5214
2012;116;Grüningen;3222
2012;220;Hagenbuch;1104
2012;4;Hausen a.A.;3372
2012;5;Hedingen;3506
2012;31;Henggart;2248
2012;152;Herrliberg;6127
2012;221;Hettlingen;2987
2012;117;Hinwil;10602
2012;132;Hirzel;2134
